mins,fgm,fga,3pm,3pa,ftm,fta,dreb,oreb,reb,ast,stl,blk,to,pf,+/-,pts
13,1,4,1,3,1,4,0,2,2,2,1,0,0,0,-4,3
19,3,4,1,2,3,4,1,3,4,4,4,0,0,0,6,7
8,0,1,0,1,0,1,0,0,0,1,2,0,3,1,-23,0
13,1,2,0,1,1,2,1,4,5,0,2,0,1,3,10,2
15,0,1,0,1,0,1,0,1,1,2,1,0,0,2,9,0
17,0,1,0,1,0,1,1,1,2,1,0,0,2,1,4,0
14,2,6,0,1,2,6,0,1,1,0,0,0,0,2,-14,4
14,4,7,1,1,4,7,0,1,1,0,1,0,1,0,-12,12
10,3,5,0,1,3,5,0,0,0,1,0,0,0,0,-16,6
13,2,4,0,0,2,4,0,2,2,1,0,0,0,0,-10,4
21,3,7,0,1,3,7,0,1,1,1,0,1,1,1,-6,6
8,2,2,0,0,2,2,0,0,0,0,0,0,2,2,3,4
24,9,12,0,0,9,12,0,1,1,1,0,1,0,1,-3,20
11,1,4,0,0,1,4,1,3,4,0,0,0,1,2,-18,2
10,0,0,0,0,0,0,0,1,1,1,0,0,0,2,-9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,4,0,0,1,4,1,3,4,1,0,1,0,3,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,1,0,3,3,1,0,0,0,3,-3,1
4,0,0,0,0,0,0,0,3,3,1,0,1,0,0,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,2,0,0,1,2,0,2,2,1,1,0,1,1,3,4
3,3,3,0,0,3,3,0,1,1,0,0,0,0,0,3,6
11,1,1,0,0,1,1,0,1,1,1,0,0,1,4,3,2
36,9,23,0,0,9,23,6,4,10,4,2,1,2,1,11,20
35,10,17,0,0,10,17,3,6,9,5,1,0,2,3,-9,23
39,8,22,0,1,8,22,2,9,11,4,0,3,1,4,1,17
27,4,10,0,0,4,10,4,7,11,1,1,1,2,1,-14,10
37,7,15,0,0,7,15,2,9,11,1,2,1,2,2,-3,15
39,6,17,0,0,6,17,1,11,12,4,1,6,4,2,-8,15
39,8,17,0,0,8,17,3,11,14,3,0,2,5,3,-14,16
37,7,19,0,0,7,19,4,8,12,2,0,2,1,5,-1,16
30,4,11,0,0,4,11,2,6,8,4,0,1,2,1,-14,14
10,0,1,0,1,0,1,0,0,0,0,0,0,0,1,-7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,0,2,0,2,0,0,0,0,0,0,0,0,-8,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0
32,8,16,3,7,8,16,0,3,3,2,0,0,3,3,15,21
26,4,15,2,5,4,15,0,4,4,1,0,0,0,2,4,15
31,8,17,3,7,8,17,0,2,2,0,0,1,0,3,3,20
36,8,15,1,3,8,15,0,0,0,5,1,0,0,0,0,17
27,6,9,2,3,6,9,0,0,0,0,1,0,1,0,-4,16
23,4,9,1,2,4,9,0,0,0,1,0,0,2,0,11,13
19,1,6,0,1,1,6,0,0,0,0,0,0,1,1,-33,3
