Jerian Grant: [13.08 mins, 1.77/3.98 fg, 0.12/1.29 3p, 0.77/0.42 ft, 0.60 dreb, 1.34 oreb, 1.85 reb, 1.29 ast, 0.31 stl, 0.11 blk, 0.81 TO, 0.84 PF, -0.31 +/-, 4.87 pts] FANDUEL: 9.05, PG, 3500, 10.70
Jose Calderon: [26.22 mins, 3.06/6.85 fg, 0.78/2.75 3p, 1.12/0.80 ft, 0.68 dreb, 2.49 oreb, 3.09 reb, 3.58 ast, 0.47 stl, 0.16 blk, 2.02 TO, 2.03 PF, -0.06 +/-, 8.19 pts] FANDUEL: 16.51, PG, 4000, 18.05
Richaun Holmes: [10.60 mins, 1.46/3.31 fg, 0.17/0.46 3p, 0.76/2.56 ft, 0.69 dreb, 1.52 oreb, 2.23 reb, 0.51 ast, 0.10 stl, 0.30 blk, 0.26 TO, 1.51 PF, -1.00 +/-, 4.03 pts] FANDUEL: 8.02, PF, 3500, 11.47
Robert Covington: [19.82 mins, 3.62/7.78 fg, 1.83/5.96 3p, 2.12/2.51 ft, 1.18 dreb, 3.16 oreb, 4.48 reb, 1.48 ast, 1.33 stl, 0.72 blk, 1.92 TO, 1.51 PF, -1.73 +/-, 10.34 pts] FANDUEL: 20.12, SF, 6000, 23.16
Kyle O'Quinn: [7.70 mins, 1.23/2.42 fg, 0.17/0.46 3p, 0.48/0.42 ft, 0.59 dreb, 1.53 oreb, 2.14 reb, 0.88 ast, 0.10 stl, 0.33 blk, 0.26 TO, 0.00 PF, 0.52 +/-, 3.36 pts] FANDUEL: 7.84, C, 3500, 11.68
Sonny Weems: [9.92 mins, 0.96/2.09 fg, 0.89/1.29 3p, 0.13/0.78 ft, 0.39 dreb, 1.14 oreb, 1.38 reb, 0.44 ast, 0.31 stl, 0.11 blk, 0.52 TO, 0.97 PF, -0.52 +/-, 2.27 pts] FANDUEL: 4.90, SF, 3500, 5.15
Jabari Parker: [33.56 mins, 6.34/13.78 fg, 0.12/1.29 3p, 3.16/3.25 ft, 1.14 dreb, 3.89 oreb, 4.94 reb, 1.97 ast, 0.69 stl, 0.17 blk, 1.69 TO, 2.24 PF, -1.12 +/-, 17.36 pts] FANDUEL: 26.28, PF, 6300, 23.04
Alec Burks: [23.47 mins, 4.36/9.60 fg, 0.78/1.77 3p, 2.37/3.31 ft, 0.79 dreb, 2.76 oreb, 3.45 reb, 1.69 ast, 0.47 stl, 0.16 blk, 1.27 TO, 2.07 PF, 0.71 +/-, 12.35 pts] FANDUEL: 19.02, SG, 4800, 21.45
Norris Cole: [31.69 mins, 5.31/12.07 fg, 0.59/2.14 3p, 2.44/1.98 ft, 0.90 dreb, 3.63 oreb, 4.40 reb, 4.78 ast, 1.24 stl, 0.16 blk, 1.69 TO, 2.24 PF, -0.77 +/-, 14.37 pts] FANDUEL: 27.94, PG, 5700, 20.39
Seth Curry: [13.39 mins, 1.67/3.58 fg, 1.08/1.29 3p, 0.50/0.42 ft, 0.41 dreb, 0.99 oreb, 1.17 reb, 1.00 ast, 0.31 stl, 0.11 blk, 0.52 TO, 0.97 PF, -1.18 +/-, 4.22 pts] FANDUEL: 7.45, SG, 3500, 6.65
